User-ID	Location	Age
1	minneapolis, minnesota, usa	24	
2	san diego, california, usa	20	
3	novinger, missouri, usa	16	
4	sonoma, california, usa	34	
5	berkeley, california, usa	23	
6	king of prussia, ,	36	
7	berkeley, ,	22	
8	rennes, bretagne, france	22	
9	st. louis, missouri, usa	36	
10	minneapolis, minnesota, usa	26	
11	independence, west virginia, usa	30	
12	bellingham, washington, usa	22	
13	hualien, taiwan, taiwan	36	
14	omaha, nebraska, usa	27	
15	sunderland, massachusetts, usa	30	
16	niskayuna, new york, usa	46	
17	bryan, texas, usa	23	
18	frisco, texas, usa	42	
19	jefferson, georgia, usa	34	
20	richland, washington, usa	25	
21	austin, texas, usa	34	
22	milwaukee, wisconsin, usa	42	
23	tehran, tehran, iran	20	
24	knoxville, tennessee, usa	29	
25	groveland, massachusetts, usa	25	
26	elk grove, california, usa	30	
27	bismarck, north dakota, usa	68	
28	barcelona, catalunya, spain	24	
29	orlando, florida, usa	23	
30	meriden, connecticut, usa	46	
31	new orleans, louisiana, usa	48	
32	hixson, tennessee, usa	27	
33	birmingham, alabama, usa	39	
34	albq, new mexico, usa	33	
35	norfolk, virginia, usa	18	
36	litchfield, connecticut, usa	30	
37	charleston, south carolina, usa	30	
38	dodge center, minnesota, usa	26	
39	houston, texas, usa	66	
40	bayan lepas, penang, malaysia	20	
41	lakeland, tennessee,	60	
42	austin, texas, usa	32	
43	cumberland, maryland, usa	29	
44	seattle, washington, usa	26	
45	oradea, bihor, romania	25	
46	vienna, vienna, austria	25	
47	houston, texas, usa	28	
48	wahiawa, hawaii, usa	32	
49	wilmington, north carolina, usa	35	
50	san jose, california, usa	45	
51	wylie, texas, usa	30	
52	strafford, missouri, usa	34	
53	burien, washington, usa	31	
54	coral springs, florida, usa	62	
55	paris, ile de france, france	51	
56	sunnyvale, california, usa	25	
57	apo, ae, usa	28	
58	apo, ae, usa	8	
59	omaha, nebraska, usa	30	
60	saint marys, georgia, usa	30	
61	pasco, washington, usa	28	
62	walnut ridge, arkansas, usa	23	
63	sunnyvale, california, usa	49	
64	winnipeg, manitoba, canada	26	
65	tulsa, , usa	22	
66	knoxville, tennessee, usa	21	
67	altoona, pennsylvania, usa	23	
68	oeiras, lisbon, portugal	27	
69	owings mills, maryland, usa	26	
70	colorado springs, colorado, usa	44	
71	torrance, california, usa	31	
72	carrollton, texas, usa	34	
73	tulsa, oklahoma, usa	26	
74	manchester, kentucky, usa	28	
75	newark, california, usa	36	
76	los angeles, california, usa	28	
77	carrollton, texas, usa	30	
78	orlando, florida, usa	34	
79	calgary, alberta, canada	239	
80	san francisco, california, usa	24	
81	austin, texas, usa	45	
82	paris, ile-de-france, france	47	
83	elizabeth city, north carolina, usa	18	
84	murphysboro, ,	37	
85	berlin, berlin, germany	27	
86	durango, colorado, usa	65	
87	glendora, california, usa	24	
88	albuquerque, new mexico, usa	30	
89	waipahu, hawaii, usa	34	
90	whitby, ontario, canada	26	
